iter	RMSE
0	1.373606307
1	1.31277467
2	1.256538917
3	1.210771652
4	1.16917508
5	1.12409315
6	1.088635571
7	1.055040978
8	1.033319704
9	1.002712815
10	0.9763760948
11	0.9547252247
12	0.9390104644
13	0.9274756284
14	0.9099315757
15	0.8973557337
16	0.8865231858
17	0.8721083928
18	0.861465297
19	0.8525464925
20	0.847635876
21	0.8376056248
22	0.828561745
23	0.8200879987
24	0.8141854256
25	0.808571888
26	0.8033654181
27	0.7981557824
28	0.7938214296
29	0.7881665765
30	0.7842773568
31	0.7804554348
32	0.777462762
33	0.7739123531
34	0.7713958574
35	0.7689000162
36	0.7657817702
37	0.7626830686
38	0.7602408521
39	0.7565744803
40	0.7537342831
41	0.7519837126
42	0.7495224722
43	0.7474085951
44	0.7444202157
45	0.7426437452
46	0.7408332075
47	0.7402292663
48	0.7389511839
49	0.7373387306
