iter	Passed	Remaining
0	146	7155
1	146	3523
2	147	2308
3	148	1702
4	148	1339
5	149	1095
6	149	921
7	150	790
8	151	688
9	151	606
10	152	539
11	152	483
12	153	436
13	153	395
14	154	361
15	155	329
16	155	302
17	156	278
18	157	256
19	157	236
20	158	218
21	158	202
22	159	187
23	160	173
24	160	160
25	161	148
26	162	138
27	162	127
28	163	118
29	163	109
30	164	100
31	164	92
32	165	85
33	165	78
34	166	71
35	167	64
36	167	58
37	168	53
38	168	47
39	169	42
40	169	37
41	170	32
42	171	27
43	171	23
44	172	19
45	173	15
46	173	11
47	174	7
48	174	3
49	175	0
